Id;Cinsiyet;Yas;IlgiAlani;Renk;Butce;Tatil;Dekorasyon;Giyim;Işiklandirma
1;Kadın;18-25; Teknoloji ve Cihazlar;Mor; 501-1000 TL;Plaj tatilleri;Modern ve minimalist;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
2;Kadın;18-25; Teknoloji ve Cihazlar; Yeşil;1001-2000 TL;Kültürel ve tarihi mekanları ziyaret etmek;Bohem ve etnik;Klasik ve zarif giyim tarzı;Loş ve romantik mum ışığı
3;Erkek;26-35; Teknoloji ve Cihazlar;Gri;5001 TL ;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
4;Kadın;18-25; Teknoloji ve Cihazlar ; Beyaz;1001-2000 TL;Şehir merkezlerini keşfetmek;Modern ve minimalist;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
5;Erkek;18-25; Teknoloji ve Cihazlar; Siyah;1001-2000 TL;Aktif ve macera dolu tatiller (rafting, sörf, dağ tırmanışı);Modern ve minimalist;Rahat ve spor giyim tarzı;Aydınlatılmış şehir manzarası
6;Kadın;18-25; Teknoloji ve Cihazlar;Mavi; 2001-5000 TL;Şehir dışı ve uzun yolculuklar;Bohem ve etnik;Klasik ve zarif giyim tarzı;Loş ve romantik mum ışığı
7;Erkek;18-25;Kitaplar ve Edebiyat; Siyah; 2001-5000 TL;Şehir dışı ve uzun yolculuklar;Sanatsal ve yaratıcı;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
8;Erkek;26-35; Moda ve Giyim; Beyaz;5001 TL ;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
9;Kadın;18-25;Kitaplar ve Edebiyat; Siyah;1001-2000 TL;Plaj tatilleri;Sanatsal ve yaratıcı;Bohem ve özgür ruhlu giyim tarzı;Loş ve romantik mum ışığı
10;Kadın;18-25;Teknoloji ve Cihazlar;Mavi;1001-2000 TL;Şehir merkezlerini keşfetmek;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
11;Erkek;18-25;Yemek ve Mutfak;Mavi; 2001-5000 TL;Şehir merkezlerini keşfetmek;Doğal ve rustik;Klasik ve zarif giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
12;Kadın;18-25;Seyahat ve Macera;Mavi;1001-2000 TL;Plaj tatilleri;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
13;Erkek;26-35;Spor ve Aktiviteler;Mavi; 2001-5000 TL;Aktif ve macera dolu tatiller (rafting, sörf, dağ tırmanışı);Lüks ve gösterişli;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
14;Kadın;18-25;Ev Dekorasyonu; Siyah; 501-1000 TL;Şehir merkezlerini keşfetmek;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
15;Erkek;18-25;Kitaplar ve Edebiyat; Siyah;1001-2000 TL;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Klasik ve zarif giyim tarzı;Aydınlatılmış şehir manzarası
16;Kadın;26-35;Kitaplar ve Edebiyat; Yeşil;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Bohem ve etnik;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
